frequency_Hz,S11_real,S11_imag,S12_real,S12_imag,S21_real,S21_imag,S22_real,S22_imag
1106623.7839776652,-3.142484331794666e-08,-0.00017382806022445403,0.9999999685751567,-0.00017382806022445403,0.9999999685751567,-0.00017382806022445403,-3.142484331794666e-08,-0.00017382806022445403
1116863.2477805612,-3.200907483924789e-08,-0.00017543647151373223,0.9999999679909252,-0.00017543647151373223,0.9999999679909252,-0.00017543647151373223,-3.200907483924789e-08,-0.00017543647151373223
1127197.4561755094,-3.260416800100826e-08,-0.00017705976525086547,0.9999999673958322,-0.0001770597652508655,0.9999999673958322,-0.0001770597652508655,-3.2604167945497115e-08,-0.0001770597652508655
1137627.2858234309,-3.321032479730269e-08,-0.00017869807914148926,0.9999999667896753,-0.00017869807914148926,0.9999999667896753,-0.00017869807914148926,-3.321032479730269e-08,-0.00017869807914148926
1148153.6214968818,-3.382775083204158e-08,-0.00018035155216541317,0.9999999661722492,-0.0001803515521654132,0.9999999661722492,-0.0001803515521654132,-3.382775083204158e-08,-0.00018035155216541317
1158777.3561551261,-3.445665571915059e-08,-0.0001820203245884137,0.9999999655433444,-0.00018202032458841373,0.9999999655433444,-0.00018202032458841373,-3.445665571915059e-08,-0.0001820203245884137
1169499.39101987,-3.509725281786251e-08,-0.00018370453797413047,0.999999964902747,-0.00018370453797413047,0.999999964902747,-0.00018370453797413047,-3.509725287337366e-08,-0.00018370453797413047
1180320.6356517298,-3.574975952439332e-08,-0.00018540433519607786,0.9999999642502406,-0.00018540433519607786,0.9999999642502406,-0.00018540433519607786,-3.574975952439332e-08,-0.00018540433519607786
1191242.0080273738,-3.6414397231843924e-08,-0.00018711986044976246,0.9999999635856027,-0.00018711986044976243,0.9999999635856027,-0.00018711986044976243,-3.6414397231843924e-08,-0.00018711986044976246
1202264.4346174132,-3.709139145795616e-08,-0.00018885125926491834,0.9999999629086083,-0.0001888512592649183,0.9999999629086083,-0.0001888512592649183,-3.709139151346731e-08,-0.00018885125926491832
1213388.8504649762,-3.778097197420939e-08,-0.00019059867851784913,0.999999962219028,-0.0001905986785178491,0.999999962219028,-0.0001905986785178491,-3.778097202972054e-08,-0.00019059867851784913
1224616.1992650488,-3.84833727697545e-08,-0.0001923622664438914,0.9999999615166272,-0.0001923622664438914,0.9999999615166272,-0.0001923622664438914,-3.84833727697545e-08,-0.0001923622664438914
1235947.4334445095,-3.91988321277609e-08,-0.0001941421726499861,0.999999960801168,-0.00019414217264998612,0.999999960801168,-0.00019414217264998612,-3.91988321277609e-08,-0.0001941421726499861
1247383.5142429431,-3.992759286971903e-08,-0.00019593854812737296,0.999999960072407,-0.00019593854812737296,0.999999960072407,-0.00019593854812737296,-3.992759286971903e-08,-0.00019593854812737296
1258925.411794166,-4.066990232363065e-08,-0.00019775154526439695,0.9999999593300978,-0.00019775154526439697,0.9999999593300978,-0.00019775154526439697,-4.066990232363065e-08,-0.00019775154526439695
1270574.105208542,-4.142601229367377e-08,-0.00019958131785943742,0.9999999585739877,-0.00019958131785943745,0.9999999585739877,-0.00019958131785943745,-4.142601234918492e-08,-0.00019958131785943742
1282330.5826560205,-4.219617947545498e-08,-0.00020142802113395304,0.9999999578038206,-0.00020142802113395304,0.9999999578038206,-0.00020142802113395304,-4.219617941994384e-08,-0.00020142802113395304
1294195.8414499862,-4.298066509563578e-08,-0.00020329181174565206,0.9999999570193351,-0.00020329181174565206,0.9999999570193351,-0.00020329181174565206,-4.298066504012463e-08,-0.00020329181174565206
1306170.8881318404,-4.377973538578003e-08,-0.0002051728478017786,0.9999999562202645,-0.00020517284780177856,0.9999999562202645,-0.00020517284780177856,-4.377973538578003e-08,-0.0002051728478017786
1318256.7385564074,-4.459366150267797e-08,-0.0002070712888725286,0.9999999554063386,-0.0002070712888725286,0.9999999554063386,-0.0002070712888725286,-4.459366150267797e-08,-0.0002070712888725286
1330454.41797809,-4.5422719616815555e-08,-0.00020898729600458285,0.9999999545772803,-0.00020898729600458282,0.9999999545772803,-0.00020898729600458282,-4.5422719616815555e-08,-0.00020898729600458285
1342764.9611378643,-4.6267191113513835e-08,-0.0002109210317347722,0.9999999537328089,-0.0002109210317347722,0.9999999537328089,-0.0002109210317347722,-4.6267191113513835e-08,-0.0002109210317347722
1355189.412351035,-4.7127362518184984e-08,-0.00021287266010386227,0.9999999528726375,-0.00021287266010386227,0.9999999528726375,-0.00021287266010386227,-4.7127362518184984e-08,-0.00021287266010386227
1367728.8255958494,-4.800352570085383e-08,-0.00021484234667047314,0.9999999519964743,-0.00021484234667047314,0.9999999519964743,-0.00021484234667047314,-4.800352570085383e-08,-0.00021484234667047314
1380384.2646028837,-4.889597791588064e-08,-0.00021683025852511985,0.9999999511040221,-0.00021683025852511982,0.9999999511040221,-0.00021683025852511982,-4.889597797139179e-08,-0.00021683025852511985
1393156.8029453035,-4.980502212101393e-08,-0.00021883656430439103,0.9999999501949779,-0.00021883656430439103,0.9999999501949779,-0.00021883656430439103,-4.980502217652508e-08,-0.00021883656430439103
1406047.524129913,-5.073096674313158e-08,-0.0002208614342052504,0.9999999492690331,-0.0002208614342052504,0.9999999492690331,-0.0002208614342052504,-5.073096668762043e-08,-0.00022086143420525043
1419057.5216890925,-5.167412588991164e-08,-0.00022290503999947888,0.9999999483258739,-0.00022290503999947882,0.9999999483258739,-0.00022290503999947882,-5.167412594542279e-08,-0.00022290503999947885
1432187.8992735425,-5.2634819729904715e-08,-0.0002249675550482426,0.9999999473651803,-0.0002249675550482426,0.9999999473651803,-0.0002249675550482426,-5.2634819785415866e-08,-0.00022496755504824257
1445439.770745928,-5.361337420838112e-08,-0.00022704915431680253,0.9999999463866258,-0.00022704915431680253,0.9999999463866258,-0.00022704915431680253,-5.361337420838112e-08,-0.00022704915431680253
1458814.2602753474,-5.461012137573958e-08,-0.00022915001438935403,0.9999999453898786,-0.00022915001438935403,0.9999999453898786,-0.00022915001438935403,-5.461012137573958e-08,-0.00022915001438935403
1472312.5024327193,-5.5625399440340475e-08,-0.0002312703134840102,0.9999999443746008,-0.00023127031348401023,0.9999999443746008,-0.00023127031348401023,-5.5625399384829324e-08,-0.0002312703134840102
1485935.642287006,-5.665955293437223e-08,-0.0002334102314679161,0.9999999433404471,-0.0002334102314679161,0.9999999433404471,-0.0002334102314679161,-5.665955293437223e-08,-0.0002334102314679161
