frequency_Hz,S11_real,S11_imag,S12_real,S12_imag,S21_real,S21_imag,S22_real,S22_imag
1000000.0,-0.023323757035570086,0.004854745431424726,0.9719697888134478,-0.0012258578287312914,0.9782363123706121,-0.0012626066705464791,-0.021098290307341346,0.0014944278659769995
1009252.8860766834,-0.03121889040096994,-0.00308396118867801,0.9710521044853005,0.0039311150156755926,0.9760571741704042,0.0011147077692644312,-0.02549711631388405,0.000746712130816753
1018591.388054117,-0.024449071725836838,0.0022520475745566645,0.9726240785789207,0.005877614329150514,0.9786876252374481,0.0004460534700150751,-0.021667995900570506,-0.0005479315606910383
1028016.2981264725,-0.024159160675064507,0.005126819294606651,0.9795550761078594,0.0032327270689466,0.9772460145813535,-0.0012771288283654014,-0.027397791736620096,-0.00013554681671580312
1037528.4158180127,-0.023099640822413538,0.0005287116559168247,0.9722536423303962,0.0011112237562484696,0.9786843074878733,-0.004903221028155869,-0.02456500925515417,-0.005553817677174431
1047128.5480508985,-0.025037287297653574,-0.003262421948832952,0.9732264775693411,-0.0035331414223640618,0.979888625660114,-0.002409940920728123,-0.02493112221248597,0.002064930375490651
1056817.5092136585,-0.025889416869883865,-0.0007492575217848169,0.9743772630809784,0.0005293756428874264,0.9774728126571239,-0.004443067409796148,-0.023111215267038715,-0.001773753184871541
1066596.1212302567,-0.022945705827478298,0.0018959343348800598,0.9771176035424636,0.0019228661223919244,0.9831054966349826,-0.0026954758798845594,-0.02581272252541041,0.0004063508711015561
1076465.213629835,-0.026183120004410775,0.0075350244716044954,0.9727615249984721,-0.0002225357679784012,0.9777656575263539,-0.0025870973270822268,-0.020438867428137275,-0.0007691113783512286
1086425.6236170644,-0.02478908704805791,0.00016018767345439634,0.9726691813843654,-0.0006915215353064421,0.9727240447988149,-0.00027217365525727564,-0.022113196188879393,-0.005214495992168458
1096478.196143185,-0.021788881849836062,-0.003533141832274386,0.9775107684900202,-0.0006866084992237982,0.9732804445754415,-0.0007423730645520852,-0.02357770681831459,-0.002145597631483559
1106623.7839776652,-0.023981871629185247,-0.0007849995941013354,0.9763751381273739,4.809995111591258e-05,0.978659728761641,0.002947495055002032,-0.023607687540466406,-0.0005126931161249842
1116863.2477805612,-0.02201407501207705,0.0012298782668958685,0.9758462542603826,-0.0020625840066667415,0.9766216454125864,0.0018353520809466692,-0.02218076369239379,0.0011480730899952308
