frequency_Hz,S11_real,S11_imag,S12_real,S12_imag,S21_real,S21_imag,S22_real,S22_imag
1000000.0,-0.048271578834123245,-0.001167676601978869,0.94648195812988,-0.009720495346549823,0.9537978126602552,-0.0044061802093278485,-0.053557230777776126,-0.0008674105996554192
1009252.8860766834,-0.04710024780250092,0.0008451695535326841,0.9480879864981496,-0.006695241505350204,0.9494070124507529,-0.0006189884045033961,-0.043577681567363344,-0.0043593067322408915
1018591.388054117,-0.0455615347651969,0.00038579661993732987,0.9564029634059522,-0.0005032767078258475,0.9578397973878598,0.0021668816506270477,-0.05032418305088376,0.003298506297779856
1028016.2981264725,-0.042372850474826154,0.0011670622255613397,0.9472514789100047,0.00257197513949925,0.9549920998775381,-0.0016656010876311962,-0.0493459332944691,0.009441508517537249
1037528.4158180127,-0.05087530557919447,-0.004709334998524647,0.9545313894556088,-0.002290613383475188,0.9556880752581355,0.0027112868788215613,-0.044415815726693904,0.0021910564062209105
1047128.5480508985,-0.046867249325810614,0.0012582900475384634,0.9528425916177099,0.00191604378351612,0.9542247741130072,-0.0077400215605809,-0.04655608467263222,0.005114973911422663
1056817.5092136585,-0.045724517427083666,-0.0011653312020226652,0.9530947352482529,0.0039089167919584685,0.9553304805201377,-0.007569055872377359,-0.05331449018856109,0.0004462769161946559
1066596.1212302567,-0.04807872403016896,-0.0024281504686997682,0.9475372704041739,0.0015465280388417641,0.9533491901942506,0.0006538540919481622,-0.041872511251878665,0.0008252747995543266
1076465.213629835,-0.04927856768031075,-0.004166406719941407,0.9528261111625438,-0.000659502733996325,0.9550284325587293,-0.00109069547888388,-0.05485630120467919,0.0012734743348448273
1086425.6236170644,-0.0494466617829116,0.0029981713218702037,0.9536565297120481,6.229756488322104e-05,0.9422412433647926,-0.004930971171507026,-0.05103810482116934,-8.784232866324184e-05
1096478.196143185,-0.04376627641767281,0.008670101893539103,0.9558912098270703,0.005292353738563935,0.9536908344712881,-0.010879063375545263,-0.044531587584706205,-0.0002469638679613596
1106623.7839776652,-0.04686641881175737,0.002789416931528407,0.9543245985438157,-0.0011111459508532265,0.9512759283868254,-0.002083319627368891,-0.047213939242005225,-0.0014073761596575076
